In file included from /virtual/main.c:1:
In file included from include/uapi/linux/ptrace.h:134:
In file included from arch/x86/include/asm/ptrace.h:5:
In file included from arch/x86/include/asm/segment.h:7:
arch/x86/include/asm/ibt.h:49:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr u64 ibt_save(void);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
arch/x86/include/asm/ibt.h:50:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr void ibt_restore(u64 save);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
2 warnings generated.
Tracing method calls in python process 172929... Ctrl-C to quit.
CPU PID    TID    TIME(us) METHOD
4   172929 173007 1.000                          <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._wsgi_encoding_dance
4   172929 173007 1.000                          -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._wsgi_encoding_dance
4   172929 173007 1.000                          <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._wsgi_encoding_dance
4   172929 173007 1.000                          -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._wsgi_encoding_dance
4   172929 173007 1.000                          <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._wsgi_encoding_dance
4   172929 173007 1.000                          -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.address_string
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.__getattr__
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.__getattr__
4   172929 173007 1.000                          <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.address_string
4   172929 173007 1.000                          -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.port_integer
